原文(有{0}),翻譯
"Arrows gain Critical Strike Chance as they travel farther, up to {0} increased Critical Strike Chance","箭矢飛得越遠，暴擊率越高，暴擊率最多增加 {0}"
"Arrows gain Critical Strike Chance as they travel farther, up to {0}% increased Critical Strike Chance","隨著箭矢飛行越遠獲得暴擊率，最多增加 {0}% 暴擊率"
"Arrows gain Damage as they travel farther, dealing up to {0} increased Damage with Hits to targets","箭矢飛得越遠，傷害越高，擊中目標最多使傷害增加 {0}"
"Arrows gain Damage as they travel farther, dealing up to {0}% increased Damage with Hits to targets","箭矢隨著飛行越遠獲得傷害，對目標最多增加 {0}% 擊中傷害"
"Arrows Pierce {0} additional Target","箭矢貫穿 {0} 個額外目標"
"Arrows Pierce {0} additional Targets","箭矢會穿透額外 {0} 名目標"
"Arrows Pierce {0} Target","箭矢穿透 {0} 個目標"
"Arrows Pierce {0} Targets","箭矢穿透 {0} 個目標"
"Arrows that Pierce have {0} chance to inflict Bleeding","穿透後的箭矢有 {0} 的機率造成流血"
"Arrows that Pierce have {0} to Critical Strike Multiplier","可穿透敵人的箭矢獲得 {0} 暴擊傷害加成"
"Arrows that Pierce have {0}% chance to inflict Bleeding","穿透的箭矢有 {0}% 造成流血"
"Arrows that Pierce have {0}% to Critical Strike Multiplier","穿透的箭矢 {0}% 暴擊加成"
"Artillery Ballista Damage Penetrates {0} Fire Resistance","【火力弩砲】的傷害穿透 {0} 的火焰抗性"
"Artillery Ballista Damage Penetrates {0}% Fire Resistance","火砲砲塔傷害穿透 {0}% 火焰抗性"
"Artillery Ballista fires {0} additional Arrows","火砲砲塔發射 {0} 支額外箭矢"
"as Extra Fire Damage for {0} seconds","其數值等同於物理傷害的 {0}%，持續 {0} 秒"
"Aspect of the Spider can inflict Spider's Web on Enemies {0} additional times","毒蛛祝福可以對敵人額外造成 {0} 次蛛網"
"Aspect of the Spider inflicts Spider's Webs and Hinder every {0} Seconds instead","毒蛛祝福現在每 {0} 秒造成蛛網和緩速"
"At {0} Defiance, take Reflected Physical Damage equal to maximum Life, then lose all Defiance","抗爭 {0} 層時，承受等同最大生命的反射物理傷害，接著失去所有抗爭"
"At {0}% Quality:","當 {0}% 品質時:"
"At least {0} Rage required to start Berserking","至少需要 {0} 層盛怒來開始狂戰之魂"
"Attack Damage is Lucky if you've Blocked in the past {0} seconds","若你在過去 {0} 秒內格擋過，攻擊傷害十分幸運"
"Attack Damage Penetrates {0}% of Enemy Chaos Resistance","攻擊傷害穿透 {0}% 的敵人混沌抗性"
"Attack Damage Penetrates {0}% of Enemy Cold Resistance","攻擊傷害穿透 {0}% 的敵人冰冷抗性"
"Attack Damage Penetrates {0}% of Enemy Elemental Resistances","攻擊傷害穿透 {0}% 的敵人元素抗性"
"Attack Damage Penetrates {0}% of Enemy Fire Resistance","攻擊傷害穿透 {0}% 的敵人火焰抗性"
"Attack Damage Penetrates {0}% of Enemy Lightning Resistance","攻擊傷害穿透 {0}% 的敵人閃電抗性"
"Attack deals {0} increased Damage","【殭屍復甦】的重擊攻擊傷害增加 {0}"
"Attack deals {0}% increased Damage","攻擊增加 {0}% 造成的傷害"
"Attack Hits against nearby Enemies have {0}% chance to inflict Bleeding","對附近敵人的攻擊擊中有 {0}% 機率造成流血"
"Attack Hits againts nearby Enemies have {0} chance to inflict Bleeding","對週圍敵人的攻擊擊中有 {0} 的機率造成流血"
"Attack Hits againts nearby Enemies have {0}% chance to inflict Bleeding","對附近敵人的攻擊擊中有 {0}% 機率造成流血"
"Attack Hits have {0} chance to Maim Cursed Enemies for {1} seconds","攻擊擊中有 {0} 的機率使被詛咒的敵人【癱瘓】，持續 {1} 秒"
"Attack Hits have {0}% chance to Maim Cursed Enemies for {1} seconds","攻擊擊中有 {0}% 機率癱瘓被詛咒的敵人 {1} 秒"
"Attack repeats {0} additional times","額外攻擊 {0} 次"
"Attack Skills deal {0} increased Damage while Dual Wielding","雙持武器時，攻擊技能的傷害增加 {0}"
"Attack Skills deal {0} increased Damage while holding a Shield","持盾牌時，攻擊技能的傷害增加 {0}"
"Attack Skills deal {0} increased Damage with Ailments while Dual Wielding","雙持時，攻擊技能造成的異常狀態傷害增加 {0}"
"Attack Skills deal {0} increased Damage with Ailments while holding a Shield","持盾牌時，攻擊技能造成的異常狀態傷害增加 {0}"
"Attack Skills deal {0} increased Damage with Ailments while wielding an Axe or Sword","持斧類或劍類時，攻擊技能的異常狀態傷害增加 {0}"
"Attack Skills deal {0} reduced Damage while Dual Wielding","雙持武器時，攻擊技能的傷害減少 {0}"
"Attack Skills deal {0} reduced Damage while holding a Shield","持盾牌時，攻擊技能的傷害減少 {0}"
"Attack Skills deal {0} reduced Damage with Ailments while Dual Wielding","雙持時，攻擊技能造成的異常狀態傷害減少 {0}"
"Attack Skills deal {0} reduced Damage with Ailments while holding a Shield","持盾牌時，攻擊技能造成的異常狀態傷害減少 {0}"
"Attack Skills deal {0} reduced Damage with Ailments while wielding an Axe or Sword","持斧類或劍類時，攻擊技能的異常狀態傷害減少 {0}"
"Attack Skills deal {0}% increased Damage while Dual Wielding","雙持時，增加 {0}%攻擊技能造成的傷害"
"Attack Skills deal {0}% increased Damage while holding a Shield","持盾時，增加 {0}%攻擊技能造成的傷害"
"Attack Skills deal {0}% increased Damage with Ailments while Dual Wielding","雙持武器時攻擊技能增加 {0}% 異常狀態傷害"
"Attack Skills deal {0}% increased Damage with Ailments while holding a Shield","持盾時攻擊技能增加 {0}% 異常狀態傷害"
"Attack Skills deal {0}% increased Damage with Ailments while wielding an Axe or Sword","持斧或劍時，攻擊技能增加 {0}% 異常狀態傷害"
"Attack Skills deal {0}% reduced Damage while Dual Wielding","雙持時，減少 {0}%攻擊技能造成的傷害"
"Attack Skills deal {0}% reduced Damage while holding a Shield","持盾時，減少 {0}%攻擊技能造成的傷害"
"Attack Skills deal {0}% reduced Damage with Ailments while Dual Wielding","雙持武器時攻擊技能減少 {0}% 異常狀態傷害"
"Attack Skills deal {0}% reduced Damage with Ailments while holding a Shield","持盾時攻擊技能減少 {0}% 異常狀態傷害"
"Attack Skills deal {0}% reduced Damage with Ailments while wielding an Axe or Sword","持斧或劍時，攻擊技能減少 {0}% 異常狀態傷害"
"Attack Skills fire {0} additional Projectiles while wielding a Claw or Dagger","持爪或匕首時，攻擊技能發射 {0} 個額外投射物"
"Attack Skills gain {0} of Physical Damage as Extra Fire Damage per Socketed Red Gem","每個插入的紅色技能石都使 {0} 的物理傷害轉化為額外火焰傷害"
"Attack Skills gain {0}% of Physical Damage as Extra Fire Damage per Socketed Red Gem","每有一個插槽中的紅色寶石，攻擊技能獲得相當於 {0}% 物理傷害的額外火焰傷害"
"Attack Skills have {0} to maximum number of Summoned Ballista Totems",攻擊技能{0}召喚砲塔圖騰的最大數量
"Attack Skills have {0} to maximum number of Summoned Totems",攻擊技能{0}召喚圖騰的最大數量
"Attack Skills have Added Lightning Damage equal to {0} of maximum Mana","攻擊技能附加閃電傷害，等於最大魔力的 {0}"
"Attack Skills have Added Lightning Damage equal to {0}% of maximum Mana","攻擊技能具有相當於 {0}% 最大魔力的附加閃電傷害"
"Attacks are Ancestrally Boosted, no more than once every {0} seconds","攻擊被先祖加持，每 {0} 秒不會超過 1 次"
"Attacks Chain {0} additional times","攻擊會額外連鎖 {0} 次"
"Attacks Chain {0} additional times when in Main Hand","主手使用時，攻擊會額外連鎖 {0} 次"
"Attacks Exerted by Ambush have {0}% to Critical Strike Multiplier","被伏擊竭盡的攻擊 {0}% 暴擊加成"
"Attacks Exerted by Ancestral Cry deal {0} increased Damage","被【先祖戰吼】增助的攻擊造成的傷害增加 {0}"
"Attacks Exerted by Ancestral Cry deal {0}% increased Damage","先祖戰吼竭盡的攻擊增加 {0}% 造成的傷害"
"Attacks Exerted by Seismic Cry deal {0} increased Damage","被【震地戰吼】增助的攻擊其傷害增加 {0}"
"Attacks Exerted by Seismic Cry deal {0}% increased Damage","裂地戰吼竭盡的攻擊增加 {0}% 造成的傷害"
"Attacks fire {0} additional Projectiles","攻擊會額外發射 {0} 個投射物"
"Attacks fire {0} additional Projectiles when in Off Hand","副手使用時，攻擊會額外發射 {0} 個投射物"
"Attacks have {0} chance to cause Bleeding","攻擊有 {0} 的機率導致流血"
"Attacks have {0} chance to Ignite","火焰傷害擊中時有 {0} 的機率點燃敵人"
"Attacks have {0} chance to inflict Bleeding when Hitting Cursed Enemies","攻擊擊中被詛咒的敵人時有 {0} 的機率造成流血"
"Attacks have {0} chance to Maim on Hit","攻擊擊中時有 {0} 的機率造成癱瘓"
"Attacks have {0} chance to Poison while at maximum Frenzy Charges","擁有最大數量的狂怒球時，攻擊有 {0} 的機率使敵人中毒"
"Attacks have {0} to Critical Strike Chance","攻擊附加 {0} 攻擊基礎暴擊率"
"Attacks have {0}% chance to cause Bleeding","攻擊有 {0}% 機率造成流血"
"Attacks have {0}% chance to Ignite","火焰傷害的攻擊有 {0}% 機率點燃敵人"
"Attacks have {0}% chance to inflict Bleeding when Hitting Cursed Enemies","攻擊有 {0}% 機率在擊中受詛咒敵人時造成流血"
"Attacks have {0}% chance to Maim on Hit","攻擊擊中時有 {0}% 機率造成癱瘓"
"Attacks have {0}% chance to Poison while at maximum Frenzy Charges","最大狂怒球狀態下，攻擊有 {0}% 機率使敵人中毒"
"Attacks have {0}% to Critical Strike Chance","攻擊有 {0}% 機率造成暴擊"
"Attacks Hits against Cursed Enemies have {0} chance to inflict Bleeding","對抗被詛咒的敵人時，攻擊擊中有 {0} 的機率造成流血"
"Attacks Hits against Cursed Enemies have {0}% chance to inflict Bleeding","攻擊擊中被詛咒的敵人，有 {0}% 機率造成流血"
"Attacks that Fire Projectiles Consume up to {0} additional Steel Shard","發射投射物的攻擊消耗最多 {0} 個額外鋼鐵碎片"
"Attacks that Fire Projectiles Consume up to {0} additional Steel Shards","發射投射物的攻擊消耗最多 {0} 個額外鋼鐵碎片"
"Attacks used by Totem have {0} less Attack Speed","圖騰施放的攻擊技能的總攻擊速度更少 {0}"
"Attacks used by Totem have {0} more Attack Speed","圖騰施放的攻擊技能的總攻擊速度更多 {0}"
"Attacks used by Totem have {0}% less Attack Speed","由圖騰施放的攻擊有 {0}% 較少攻擊速度"
"Attacks used by Totem have {0}% more Attack Speed","由圖騰施放的攻擊有 {0}% 更多攻擊速度"
"Attacks used by Totems have {0} increased Attack Speed","圖騰所使用攻擊的攻擊速度增加 {0}"
"Attacks used by Totems have {0}% increased Attack Speed","圖騰使用的攻擊增加 {0}% 攻擊速度"
"Attacks with Axes or Swords grant {0} Rage on Hit, no more than once every second","斧或劍的攻擊擊中時獲得 {0} 層盛怒，每秒只能觸發一次"
"Attacks with Energy Blades Penetrate {0}% Lightning Resistance","能量之刃的攻擊穿透 {0}% 閃電抗性"
"Attacks with Melee Weapons deal {0} increased Damage with Ailments","近戰武器攻擊造成的異常狀態傷害增加 {0}"
"Attacks with Melee Weapons deal {0} increased Damage with Hits and Ailments","近戰武器攻擊造成的擊中和異常狀態傷害增加 {0}"
"Attacks with Melee Weapons deal {0} reduced Damage with Ailments","近戰武器攻擊造成的異常狀態傷害減少 {0}"
"Attacks with Melee Weapons deal {0} reduced Damage with Hits and Ailments","近戰武器攻擊造成的擊中和異常狀態傷害減少 {0}"
"Attacks with Melee Weapons deal {0}% increased Damage with Ailments","使用近戰武器攻擊增加 {0}% 異常狀態傷害"
"Attacks with Melee Weapons deal {0}% increased Damage with Hits and Ailments","使用近戰武器攻擊增加 {0}% 擊中和異常狀態傷害"
"Attacks with Melee Weapons deal {0}% reduced Damage with Ailments","使用近戰武器攻擊減少 {0}% 異常狀態傷害"
"Attacks with Melee Weapons deal {0}% reduced Damage with Hits and Ailments","使用近戰武器攻擊減少 {0}% 擊中和異常狀態傷害"
"Attacks with One Handed Melee Weapons deal {0} increased Damage with Ailments","單手近戰武器攻擊造成的異常狀態傷害增加 {0}"
"Attacks with One Handed Melee Weapons deal {0} increased Damage with Hits and Ailments","單手近戰武器攻擊造成的擊中和異常狀態傷害增加 {0}"
"Attacks with One Handed Melee Weapons deal {0} reduced Damage with Ailments","單手近戰武器攻擊造成的異常狀態傷害減少 {0}"
"Attacks with One Handed Melee Weapons deal {0} reduced Damage with Hits and Ailments","單手近戰武器攻擊造成的擊中和異常狀態傷害減少 {0}"
"Attacks with One Handed Melee Weapons deal {0}% increased Damage with Ailments","使用單手近戰武器攻擊增加 {0}% 異常狀態傷害"
"Attacks with One Handed Melee Weapons deal {0}% increased Damage with Hits and Ailments","使用單手近戰武器攻擊增加 {0}% 擊中和異常狀態傷害"
"Attacks with One Handed Melee Weapons deal {0}% reduced Damage with Ailments","使用單手近戰武器攻擊減少 {0}% 異常狀態傷害"
"Attacks with One Handed Melee Weapons deal {0}% reduced Damage with Hits and Ailments","使用單手近戰武器攻擊減少 {0}% 擊中和異常狀態傷害"
"Attacks with One Handed Weapons deal {0} increased Damage with Ailments","單手武器攻擊造成的異常狀態傷害增加 {0}"
"Attacks with One Handed Weapons deal {0} increased Damage with Hits and Ailments","單手武器攻擊造成的擊中和異常狀態傷害增加 {0}"
"Attacks with One Handed Weapons deal {0} reduced Damage with Ailments","單手武器攻擊造成的異常狀態傷害減少 {0}"
"Attacks with One Handed Weapons deal {0} reduced Damage with Hits and Ailments","單手武器攻擊造成的擊中和異常狀態傷害減少 {0}"
"Attacks with One Handed Weapons deal {0}% increased Damage with Ailments","使用單手武器攻擊增加 {0}% 異常狀態傷害"
"Attacks with One Handed Weapons deal {0}% increased Damage with Hits and Ailments","使用單手武器攻擊增加 {0}% 擊中和異常狀態傷害"
"Attacks with One Handed Weapons deal {0}% reduced Damage with Ailments","使用單手武器攻擊減少 {0}% 異常狀態傷害"
