"Life Regen",生命回复
"Buff grants {0}% increased Fire Damage","增益效果的火焰伤害提高 {0}%"
"Buff grants {0}% more Spell Fire Damage","增益效果的总火焰法术伤害总增 {0}%"
"Buff grants {0}% less Spell Fire Damage","增益效果的总火焰法术伤害总降 {0}%"
"Buff grants {0}% increased Cold Damage","增益效果的冰霜伤害提高 {0}%"
"Buff grants {0}% increased Lightning Damage","增益效果的闪电伤害提高 {0}%"
"Buff grants {0} to Armour","增益效果 {0} 护甲"
"Buff grants {0}% additional Physical Damage Reduction per Endurance Charge","每个耐力球使增益效果获得 {0}% 额外物理伤害减免"
"Buff grants {0}% to all Resistances per Endurance Charge","每个耐力球使增益效果 {0}% 所有抗性"
"Buff grants {0}% more Armour","增益效果使护甲总增 {0}%"
"Imbalanced Guard",失衡卫士
Doomsday,灭亡之日
"Secrets of Suffering",苦难秘辛
"Hollow Palm Technique",空明之掌
"{0} increased Rogue's Markers dropped by monsters","怪物掉落赏金猎人印记的几率提高 {0}"
"{0} reduced Rogue's Markers dropped by monsters","怪物掉落赏金猎人印记的几率降低 {0}"
"This Jewel's Socket has {0} increased effect per Allocated Passive Skill between it and your Class' starting location","从你职业的出发位置到该珠宝槽之间每一点配置的天赋就使该珠宝插槽的效果提高 {0}"
"{0} Prefix Modifier allowed","允许的前缀 {0}"
"{0} Prefix Modifiers allowed","允许的前缀 {0}"
"{0} Suffix Modifier allowed","允许的后缀 {0}"
"{0} Suffix Modifiers allowed","允许的后缀 {0}"
"Implicit Modifiers Cannot Be Changed",基底词缀不能改变
"Can have {0} additional Crafted Modifier","可以有 {0} 个额外工艺词缀"
"Can have {0} additional Crafted Modifiers","可以有{0} 个额外工艺词缀"
"{0} increased Implicit Modifier magnitudes","{0} 固定基底词缀效果加成"
"{0} reduced Implicit Modifier magnitudes","{0} 固定基底词缀效果降低"
"Has no Blue Sockets",没有蓝色插槽
"Has no Green Sockets",没有绿色插槽
"Has no Red Sockets",没有红色插槽
"All Sockets are Blue",所有插槽都是蓝色
"All Sockets are Green",所有插槽都是绿色
"All Sockets are Red",所有插槽都是红色
"Has {0} White Sockets","有 {0} 个白色插槽"
"{0} to maximum Sockets","插槽上限为 {0} 个"
"{0} chance to Trigger a Socketed Warcry Skill when you lose Endurance Charges","当你失去耐力球时，有 {0} 的几率触发一个插槽内的战吼"
"{1} to Level of Socketed Active Skill Gems per {0} Player Levels","人物等级每到达 {0} 级，该插槽内的【主动技能石】等级 {1}"
"Gems Socketed in Green Sockets have {0} to Quality","绿色插槽内的技能石 {0} 品质"
"Gems Socketed in Blue Sockets gain {0} increased Experience","蓝色插槽内的技能石额外获得 {0} 经验"
"Socketed Golem Skills have {0} increased Attack and Cast Speed","插槽内魔像技能攻击和施法速度提高 {0}"
"{0} increased Effect of Buffs granted by Socketed Golem Skills","插槽内魔像技能的增益效果提高 {0}"
"Socketed Golem Skills have {0} chance to Taunt on Hit","插槽内魔像技能击中时有 {0} 的几率嘲讽"
"Socketed Golem Skills have Minions Regenerate {0} of Life per second","插槽内的魔像技能每秒回复 {0} 生命"
"Socketed Golem Skills gain {0} of Maximum Life as Extra Maximum Energy Shield","插槽内魔像技能获得等同最大生命 {0} 的额外能量护盾"
"{0} to Quality of Socketed Gems","此物品上装备的【技能石】品质 {0}"
"{0} to Quality of Socketed Support Gems","此物品上装备的【辅助技能石】品质 {0}"
"{0} increased Effect of Socketed Jewels","插槽内的珠宝效果提高 {0}"
"{0} reduced Effect of Socketed Jewels","插槽内的珠宝效果降低 {0}"
"Socketed Gems are Supported by Level {0} Hextouch","插入的技能石被 {0} 的蛊咒辅助"
"Socketed Gems are Supported by Level {0} Predator","插入的技能石被 {0} 的掠食辅助"
"Socketed Gems are Supported by Level {0} Impending Doom","插入的技能石被 {0} 的末日将至辅助"
"Socketed Gems are Supported by Level {0} Pinpoint","插入的技能石被 {0} 的会心一击辅助"
"Socketed Gems are Supported by Level {0} Awakened Hextouch","插入的技能石被 {0} 的蛊咒强辅辅助"
"Socketed Gems have {0} increased Mana Reservation","此物品上的技能石提高 {0} 魔力保留"
"Socketed Gems have {0} reduced Mana Reservation","此物品上的技能石降低 {0} 魔力保留"
"Socketed Skill Gems get a {0} Mana Multiplier","此物品上的技能石魔力消耗倍率为原来的 {0}"
"Socketed Melee Gems have {0} increased Area of Effect","插槽内的的近战技能石范围扩大 {0}"
"Socketed Melee Gems have {0} reduced Area of Effect","插槽内的的近战技能石范围降低 {0}"
"Socketed Red Gems get {0} Physical Damage as Extra Fire Damage","此物品上的红色技能石额外获得 {0} 的物理伤害，并转化为火焰伤害"
"Socketed Gems have {0} chance to Ignite","此物品上的技能石有 {0} 的几率点燃敌人"
"Socketed Gems have {0} chance to cause Enemies to Flee on Hit","此物品上的技能石有 {0} 的几率使敌人逃跑"
"Enemies slain by Socketed Gems drop {0} increased item quantity","使用此此物品上的技能石技能击败怪物时，物品掉落数量提高 {0}"
"Enemies slain by Socketed Gems drop {0} reduced item quantity","使用此此物品上的技能石技能击败怪物时，物品掉落数量降低 {0}"
"Hexes applied by Socketed Curse Skills are Reflected back to you",由插入的诅咒技能施加的魔蛊被反射给了你
"Socketed Gems have {0} Critical Strike Chance","插入的技能石 {0} 暴击率"
"{0} chance to Trigger a Socketed Spell when you Attack with a Bow","当你用弓攻击时，有 {0} 的几率触发一个插槽内的法术"
"Socketed Triggered Bow Skills deal {0} more Damage","插入的弓类技能触发时，造成的总伤害额外提高 {0}"
"Socketed Triggered Bow Skills deal {0} less Damage","插入的弓类技能触发时，造成的总伤害额外降低 {0}"
"Socketed Skills deal {0} more Attack Damage","插槽内的技能造成的攻击总伤害额外提高 {0}"
"Socketed Skills deal {0} less Attack Damage","插槽内的技能造成的攻击总伤害额外降低 {0}"
"Socketed Attacks have {0} to Critical Strike Chance","插槽内的攻击技能获得 {0} 基础暴击率"
"Socketed Attacks have {0} to Critical Strike Multiplier","插槽内的攻击技能获得 {0} 暴击伤害加成"
"Socketed Gems have {0} more Attack and Cast Speed","此物品上的技能石总攻击和施法速度额外提高 {0}"
"Socketed Gems deal {0} more Elemental Damage","此物品上的技能石元素总伤害额外提高 {0}"
"Socketed Gems have {0} reduced Mana Cost","此物品上的技能石魔力消耗降低 {0}"
"Socketed Gems have {0} increased Mana Cost","此物品上的技能石魔力消耗提高 {0}"
"Socketed Gems gain {0} of Physical Damage as extra Lightning Damage","此物品上的技能石获得 {0} 物理伤害，并转化为额外闪电伤害"
"Socketed Skills have {0} increased Attack Speed","插槽内的技能攻击速度提高 {0}"
"Socketed Skills have {0} reduced Attack Speed","插槽内的技能攻击速度降低 {0}"
"Socketed Skills have {0} increased Cast Speed","插槽内的技能施法速度提高 {0}"
"Socketed Skills have {0} reduced Cast Speed","插槽内的技能施法速度降低 {0}"
"Socketed Skills deal Double Damage",插入的技能伤害翻倍
"Socketed Skills deal {0} more Spell Damage","插槽内的技能造成的法术总伤害额外提高 {0}"
"Socketed Skills deal {0} less Spell Damage","插槽内的技能造成的法术总伤害额外降低 {0}"
"Socketed Spells have {0} to Critical Strike Chance","插槽内的法术获得 {0} 法术基础暴击率"
"Socketed Spells have {0} to Critical Strike Multiplier","插槽内的法术获得 {0} 暴击伤害加成"
"Socketed Spells have {0} increased Mana Cost","插槽内的法术魔力消耗提高 {0}"
"Socketed Spells have {0} reduced Mana Cost","插槽内的法术魔力消耗降低 {0}"
"Spend Energy Shield before Mana for Costs of Socketed Skills",施放插入的技能时，在消耗魔力前先消耗能量护盾
"Socketed Gems deal {0} more Damage over Time","此物品上的技能石持续总伤害额外提高 {0}"
"Socketed Gems deal {0} less Damage over Time","此物品上的技能石持续总伤害额外降低 {0}"
"Socketed Non-Curse Aura Gems have {0} increased Aura Effect","插槽内的非诅咒类【范围技能石】光环效果提高 {0}"
"Socketed Non-Curse Aura Gems have {0} reduced Aura Effect","插槽内的非诅咒类【范围技能石】光环效果降低 {0}"
"Socketed Gems have Secrets of Suffering",插入的技能石具有苦难秘辛
"Socketed Gems have {0} increased Elemental Equilibrium effect","此物品上的技能石获得【元素之相】，效果提高 {0}"
"Socketed Gems have {0} reduced Elemental Equilibrium effect","此物品上的技能石获得【元素之相】，效果降低 {0}"
"Socketed Gems have {0} increased Skill Effect Duration","此物品上的技能石延长 {0} 技能效果持续时间"
"Socketed Gems have {0} reduced Skill Effect Duration","此物品上的技能石缩短 {0} 技能效果持续时间"
"Socketed Curse Gems have {0} increased Mana Reservation","此物品上的诅咒技能石提高 {0} 魔力保留"
"Socketed Curse Gems have {0} reduced Mana Reservation","此物品上的诅咒技能石降低 {0} 魔力保留"
"Skills from your Helmet Penetrate {0} Elemental Resistances","你头部装备上的技能穿透 {0} 元素抗性"
"Skills from your Gloves have {0} increased Area of Effect","你手部装备上的技能范围扩大 {0}"
"Skills from your Boots Leech {0} of Damage as Life","你脚部装备上的技能所造成的 {0} 伤害转化为生命偷取"
"Grants Level {0} Sniper's Mark Skill","提供 {0} 级狙击印记"
"{0} chance to Trigger Level {1} Create Lesser Shrine when you Kill an Enemy","击败敌人时有 {0} 的几率召唤 {1} 级的低阶神殿"
"Socketed Hex Curse Skills are Triggered by Doedre's Effigy when Summoned",召唤德瑞的塑像时候触发插入的魔蛊诅咒技能
"Hexes from Socketed Skills ignore Curse Limit",来自插入技能的魔蛊无视诅咒限制
"Grants Level {0} Wintertide Brand","提供 {0} 级冬潮烙印"
"Grants Level {0} Death Wish Skill","提供 {0} 级死亡之愿"
"{0} chance to Trigger Level {1} Summon Spectral Wolf on Critical Strike with this Weapon","使用该武器暴击时，有 {0} 的几率触发 {1} 级的【召唤幽狼】"
"{0} chance to Trigger Socketed Spells on Killing a Shocked Enemy","击败感电敌人时有 {0} 的几率触发插槽里的法术"
"{0} chance to Trigger Socketed Minion Spells on Kill with this Weapon","使用该武器击败敌人时，有 {0} 的几率触发插槽内的召唤生物法术"
"{1} chance to Trigger Socketed Spells when you Spend at least {0} Mana to Use a Skill","使用至少 {1} 魔力施放技能时，有 {0} 的几率触发插槽内的法术"
"{0} chance to Trigger a Socketed Bow Skill when you Attack with a Bow","当你使用弓箭攻击时，有 {0} 的几率触发一个插槽内的弓类法术"
"Trigger Level {0} Assassin's Mark when you Hit a Rare or Unique Enemy","你击中稀有或传奇敌人时触发 {0} 级暗影印记"
"Trigger Level {0} Poacher's Mark when you Hit a Rare or Unique Enemy","你击中稀有或传奇敌人时触发 {0} 级盗猎者印记"
"Trigger Level {0} Warlords's Mark when you Hit a Rare or Unique Enemy","你击中稀有或传奇敌人时触发 {0} 级督军印记"
"{0} chance to Trigger Level {1} Arcane Wake after Spending a total of {2} Mana","消耗总计 {2} 魔力后有 {0} 的几率触发 {1} 级的【秘术苏醒】"
"{0} chance to Trigger Level {1} Animate Weapon on Kill","击败敌人时有 {0} 的几率触发 {1} 级的【幻化武器】"
"Triggers Level {0} Physical Aegis when Equipped","装备时触发 {0} 级物理神盾"
"{0} chance to Cast Level {1} Fire Burst on Hit","击中时有 {0} 的几率施放 {1} 级的【火焰爆破】"
"Trigger Level {0} Unseen Strike every {1} seconds while Phasing","迷踪状态下，每隔 {1} 秒便触发 {0} 级隐形打击"
"{0} chance to Trigger Level {1} Molten Burst on Melee Hit","近战击中有 {0} 的几率触发 {1} 级的【熔岩爆破】"
"{0} chance to Trigger Level {1} Raise Spiders on Kill","击败敌人时有 {0} 的几率触发 {1} 级的【召唤毒蛛】"
"{0} chance to Trigger Level {1} Summon Raging Spirit on Kill","击败敌人时有 {0} 的几率触发 {1} 级的【召唤愤怒狂灵】"
"{0} Chance to Trigger Level {1} Summon Spectral Wolf on Kill","击败敌人时有 {0} 的几率触发 {1} 级的【召唤幽狼】"
"{0} chance to Trigger Commandment of Inferno on Critical Strike","暴击时有 {0} 的几率触发【炼狱之诫】"
"Triggers Level {0} Corpse Walk when Equipped","装备时触发 {0} 级灵枢行走"
"{0} chance to Trigger Level {1} Blood Rage when you Kill an Enemy","击败敌人时有 {0} 的几率触发 {1} 级的鲜血狂怒"
"{0} chance to Trigger Level {1} Animate Guardian's Weapon when Animated Guardian Kills an Enemy","当幻化守卫击败一个敌人时，有 {0} 的几率触发 {1} 级的【幻化守卫武器】"
"{0} chance to Trigger Level {1} Animate Guardian's Weapon when Animated Weapon Kills an Enemy","当幻化武器击败一个敌人时，有 {0} 的几率触发 {1} 级的【幻化守卫武器】"
"{0} chance to Trigger Level {1} Shade Form when you Use a Socketed Skill","当你使用物品上的技能时，有 {0} 的几率触发 {1} 级的 【暗影姿态】"
"{0} chance to Trigger Level {1} Shade Form when Hit","被击中时有 {0} 的几率触发 {1} 级暗影姿态"
"Trigger Level {0} Shield Shatter when you Block","你格挡时触发 {0} 级破盾击"
"Trigger Level {0} Warlord's Mark when you Hit a Rare or Unique Enemy","你击中稀有或传奇敌人时触发 {0} 级督军印记"
